transaction_id,timestamp,merchant_id,merchant_category,amount,hour_of_day,device_age_days,is_new_device,distance_from_usual_location_km,seconds_since_last_transaction,txn_count_last_hour,customer_avg_amount_30d,amount_to_avg_ratio,failed_attempts_last_hour,is_fraud
txn_000000,2026-01-01 00:02:16.531591,merchant_c,utilities,3030.71,11,12.5,0,11.0,3674.8,0,2950.99,1.027,0,0
txn_000001,2026-01-01 00:03:19.475308,merchant_a,utilities,1957.41,20,314.5,0,5.1,1704.0,1,2942.0,0.665,0,0
txn_000002,2026-01-01 00:04:44.755395,merchant_a,grocery,1804.06,16,25.6,0,13.2,8821.2,1,1748.67,1.032,0,0
txn_000003,2026-01-01 00:08:09.471509,merchant_b,grocery,2999.33,13,122.9,0,39.6,3734.9,0,1282.15,2.339,0,0
txn_000004,2026-01-01 00:08:44.901020,merchant_c,electronics,5691.45,9,92.1,0,1.3,7491.8,2,4358.85,1.306,0,0
txn_000005,2026-01-01 00:18:47.999867,merchant_c,digital_goods,3845.54,13,0.1,1,1.9,224.2,1,4987.97,0.771,0,0
txn_000006,2026-01-01 00:21:35.030978,merchant_c,fashion,2852.35,11,494.5,0,2.3,3180.6,0,4204.64,0.678,0,0
txn_000007,2026-01-01 00:23:20.116026,merchant_b,electronics,3500.84,13,112.2,0,26.9,4930.7,0,3727.61,0.939,0,0
txn_000008,2026-01-01 00:23:58.331931,merchant_a,fashion,1186.02,9,303.1,0,15.3,1220.7,1,4258.51,0.279,0,0
txn_000009,2026-01-01 00:24:38.435834,merchant_a,fashion,516.32,8,420.8,0,1.7,1086.6,2,1104.86,0.467,1,0
txn_000010,2026-01-01 00:26:16.240872,merchant_a,grocery,1433.0,8,463.8,0,6.1,758.8,4,1554.99,0.922,0,0
txn_000011,2026-01-01 00:29:34.748875,merchant_b,digital_goods,3969.49,12,58.9,0,5.2,1208.6,1,4806.24,0.826,0,0
txn_000012,2026-01-01 00:30:52.064870,merchant_b,digital_goods,3705.59,13,66.1,0,20.2,11121.8,1,4611.69,0.804,0,0
txn_000013,2026-01-01 00:32:46.327677,merchant_a,grocery,1527.59,14,12.9,0,5.4,8548.0,0,2222.64,0.687,0,0
txn_000014,2026-01-01 00:34:10.871547,merchant_b,grocery,2894.65,3,8.4,0,16.4,3674.5,0,2341.29,1.236,1,0
txn_000015,2026-01-01 00:39:55.114199,merchant_a,electronics,5458.14,6,599.9,0,1.8,956.8,0,4242.7,1.286,0,0
txn_000016,2026-01-01 00:45:16.489416,merchant_b,grocery,265.69,9,50.5,0,2.1,4674.0,1,200.0,1.328,0,0
txn_000017,2026-01-01 00:49:41.036250,merchant_c,travel,3128.03,21,349.9,0,4.8,1864.9,1,3745.49,0.835,0,0
txn_000018,2026-01-01 00:50:37.013481,merchant_c,digital_goods,3340.01,14,63.0,0,4.1,239.9,0,3460.66,0.965,0,0
txn_000019,2026-01-01 00:54:19.902870,merchant_a,fashion,3899.96,22,504.7,0,15.5,1668.1,0,2560.71,1.523,0,0
txn_000020,2026-01-01 01:04:26.952361,merchant_a,travel,4110.48,6,79.8,0,13.9,359.5,1,5151.96,0.798,0,0
txn_000021,2026-01-01 01:07:48.408918,merchant_c,utilities,1563.57,17,407.1,0,3.3,61.8,2,1326.35,1.179,0,0
txn_000022,2026-01-01 01:08:44.038779,merchant_a,digital_goods,6846.85,8,337.3,0,16.1,6449.9,0,3066.12,2.233,0,0
txn_000023,2026-01-01 01:12:02.594451,merchant_b,fashion,1502.09,22,184.2,0,9.3,1538.9,0,2458.03,0.611,0,0
txn_000024,2026-01-01 01:13:56.311963,merchant_b,digital_goods,6240.23,21,278.1,0,10.3,2756.4,0,4814.86,1.296,0,0
txn_000025,2026-01-01 01:14:55.411206,merchant_c,electronics,7565.94,11,27.7,0,4.0,11232.8,0,5470.3,1.383,0,0
txn_000026,2026-01-01 01:17:40.686338,merchant_a,utilities,1260.32,14,94.0,0,7.1,2589.6,2,1482.96,0.85,0,0
txn_000027,2026-01-01 01:24:54.755132,merchant_b,digital_goods,2983.28,16,272.0,0,2.3,1689.2,0,4623.68,0.645,0,0
txn_000028,2026-01-01 01:29:38.339510,merchant_a,electronics,1411.73,22,91.8,0,1.8,4776.2,1,2111.19,0.669,0,0
txn_000029,2026-01-01 01:35:28.419986,merchant_a,digital_goods,1603.7,15,82.6,0,4.9,7095.8,0,3704.91,0.433,0,0
txn_000030,2026-01-01 01:35:45.580988,merchant_c,electronics,3452.38,6,277.0,0,7.2,5787.8,1,4672.92,0.739,0,0
txn_000031,2026-01-01 01:36:08.400281,merchant_a,travel,4716.13,8,255.4,0,5.2,3269.9,1,5465.89,0.863,0,0
txn_000032,2026-01-01 01:36:23.808841,merchant_b,electronics,15312.0,16,212.0,0,35.9,2551.1,0,6868.85,2.229,0,0
